num,galaxy,type,access
1,Euclid,Normal,yes
2,Hilbert Dimension,Normal,yes
3,Calypso,Harsh,yes
4,Hesperius Dimension,Normal,
5,Hyades,Normal,
6,Ickjamatew,Normal,
7,Budullangr,Empty,yes
8,Kikolgallr,Normal,
9,Eltiensleen,Normal,
10,Eissentam,Lush,yes
11,Elkupalos,Normal,
12,Aptarkaba,Empty,
13,Ontiniangp,Normal,
14,Odiwagiri,Normal,
15,Ogtialabi,Harsh,
16,Muhacksonto,Normal,
17,Hitonskyer,Normal,
18,Rerasmutul,Normal,
19,Isdoraijung,Lush,yes
20,Doctinawyra,Normal,
21,Loychazinq,Normal,
22,Zukasizawa,Normal,
23,Ekwathore,Harsh,
24,Yeberhahne,Normal,
25,Twerbetek,Normal,
26,Sivarates,Normal,
27,Eajerandal,Empty,
28,Aldukesci,Normal,
29,Wotyarogii,Normal,
30,Sudzerbal,Lush,
31,Maupenzhay,Normal,
32,Sugueziume,Empty,
33,Brogoweldian,Normal,
34,Ehbogdenbu,Normal,
35,Ijsenufryos,Harsh,
36,Nipikulha,Normal,
37,Autsurabin,Normal,
38,Lusontrygiamh,Normal,
39,Rewmanawa,Lush,
40,Ethiophodhe,Normal,
41,Urastrykle,Normal,
42,Xobeurindj,Normal,
43,Oniijialdu,Harsh,
44,Wucetosucc,Normal,
45,Ebyeloof,Normal,
46,Odyavanta,Normal,
47,Milekistri,Empty,
48,Waferganh,Normal,
49,Agnusopwit,Normal,
50,Teyaypilny,Lush,
51,Zalienkosm,Normal,
52,Ladgudiraf,Empty,
53,Mushonponte,Normal,
54,Amsentisz,Normal,
55,Fladiselm,Harsh,
56,Laanawemb,Normal,
57,Ilkerloor,Normal,
58,Davanossi,Normal,
59,Ploehrliou,Lush,
60,Corpinyaya,Normal,
61,Leckandmeram,Normal,
62,Quulngais,Normal,
63,Nokokipsechl,Harsh,
64,Rinblodesa,Normal,
65,Loydporpen,Normal,
66,Ibtrevskip,Normal,
67,Elkowaldb,Empty,
68,Heholhofsko,Normal,
69,Yebrilowisod,Normal,
70,Husalvangewi,Lush,
71,Ovna'uesed,Normal,
72,Bahibusey,Empty,
73,Nuybeliaure,Normal,
74,Doshawchuc,Normal,
75,Ruckinarkh,Harsh,
76,Thorettac,Normal,
77,Nuponoparau,Normal,
78,Moglaschil,Normal,
79,Uiweupose,Lush,
80,Nasmilete,Normal,
81,Ekdaluskin,Normal,
82,Hakapanasy,Normal,
83,Dimonimba,Harsh,
84,Cajaccari,Normal,
85,Olonerovo,Normal,
86,Umlanswick,Normal,
87,Henayliszm,Empty,
88,Utzenmate,Normal,
89,Umirpaiya,Normal,
90,Paholiang,Lush,yes
91,Iaereznika,Normal,
92,Yudukagath,Empty,
93,Boealalosnj,Normal,
94,Yaevarcko,Normal,
95,Coellosipp,Harsh,
96,Wayndohalou,Normal,
97,Smoduraykl,Normal,
98,Apmaneessu,Normal,
99,Hicanpaav,Lush,
100,Akvasanta,Normal,
101,Tuychelisaor,Normal,
102,Rivskimbe,Normal,
103,Daksanquix,Harsh,
104,Kissonlin,Normal,
105,Aediabiel,Normal,
106,Ulosaginyik,Normal,
107,Roclaytonycar,Empty,
108,Kichiaroa,Normal,
109,Irceauffey,Normal,
110,Nudquathsenfe,Lush,
