System,Location,Type,None,H20,He-3,U,Cl,Fe,Pb,Ni,Cu,Al,Ar,Ir,C6Hn,Pd,Pu,F,Be,W,IL,Co,Ne,SiH3Cl,Nd,V,Ag,R-COOH,HnCn,Eu,Hg,xF4,Pt,Au,Ti,Ta,Cs,Yb,Sb,Xe,Li,Dy,Vy,Rc,Vr,Ad,Ie,Xe,Tsn,antim,adhe,amino,analg,aroma,biosup,cos,fib,lub,mem,nut,pig,poly,seal,solv,spice,stim,struct,toxin
Barnard's Star,Frost,Planet,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Akila,Planet,,X,,,,,,X,,X,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X
Cheyenne,Antherum,Moon,,,X,,,,,,,X,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Bindi,Moon,,,X,X,,,X,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Codos,Moon,,X,,,X,X,,,,X,X,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,
Cheyenne,Skink,Planet,,X,,,,,X,X,X,,,,,,,X,,,,X,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Burran,Planet,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Rell,Moon,,,X,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Grizzit,Moon,,,X,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Washakie,Planet,,X,,X,,,X,,,,X,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Smet,Moon,,,X,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Montara,Planet,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
